"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.12119500213083e-258,0.925600375000572,0.41,0.234,1.01936260370485e-253,"0","PLXDC2"
1.89100734756519e-257,0.891121375034173,0.399,0.219,3.14909453590031e-253,"0","HCK"
6.00976554015517e-257,0.796023436246923,0.447,0.258,1.00080625540204e-252,"0","FCGR2A"
2.95618944236556e-250,0.618224602584383,0.677,0.487,4.92294227837137e-246,"0","PGK1"
7.53580040668324e-246,0.692553072635715,0.614,0.423,1.25493684172496e-241,"0","CEBPB"
3.73888418610161e-244,0.77403037218395,0.477,0.295,6.22636383511501e-240,"0","ATP6V0D1"
1.25240258913675e-242,1.09371768944999,0.255,0.114,2.08562603168942e-238,"0","OLR1"
2.42293562032987e-239,0.502865103319835,0.759,0.556,4.03491468853533e-235,"0","PKM"
2.79012670030429e-239,0.645719493747313,0.562,0.366,4.64639799401673e-235,"0","RBPJ"
2.96888609522603e-237,1.09750436648872,0.303,0.152,4.9440860143799e-233,"0","LILRB1"
3.27671364401447e-237,0.524722359935041,0.793,0.572,5.45671123137729e-233,"0","DYNLL1"
2.16304365398439e-236,0.643164416944268,0.576,0.38,3.60211659698021e-232,"0","RHOG"
8.39305128985842e-236,0.82940157792829,0.406,0.231,1.39769483130012e-231,"0","HLA-DRB5"
6.19269761224557e-235,1.05498361603982,0.306,0.154,1.03126993336726e-230,"0","LILRB3"
6.23463190125214e-235,0.749660700932769,0.479,0.298,1.03825325051552e-230,"0","SLC16A3"
2.61166317814842e-234,0.639216499002373,0.493,0.304,4.34920269057057e-230,"0","CTSA"
1.0700055653214e-233,0.677701810284306,0.473,0.278,1.78188026792972e-229,"0","C3AR1"
3.36834475019029e-230,0.527107749088642,0.703,0.505,5.60930451249189e-226,"0","GNG5"
8.52743691980547e-228,1.03444360993993,0.267,0.125,1.4200740702552e-223,"0","F13A1"
6.26545838052643e-226,0.719411731882784,0.445,0.271,1.04338678410907e-221,"0","UPP1"
1.97365418143693e-225,0.7486419760176,0.465,0.289,3.28672630834691e-221,"0","CNPY3"
4.19484779766482e-225,0.569489981286818,0.716,0.514,6.98568003745122e-221,"0","PSME2"
3.49618470292028e-224,1.21507363614632,0.255,0.121,5.82219638577314e-220,"0","SLC25A37"
4.29960135852353e-223,0.644351176143142,0.545,0.357,7.16012614234923e-219,"0","PHPT1"
1.98962872570076e-220,0.569899987839096,0.621,0.429,3.31332871690947e-216,"0","LAMTOR1"
1.26568286646646e-215,0.650513016442608,0.486,0.305,2.1077416775266e-211,"0","GLIPR1"
1.44584543910975e-215,0.664767348692994,0.496,0.314,2.40776640974946e-211,"0","RNF130"
1.50341439539379e-214,0.824808676808186,0.36,0.199,2.50363599264927e-210,"0","C5AR1"
3.0642199670944e-214,0.613612859559305,0.515,0.332,5.10284551120231e-210,"0","ARRB2"
